CNPJ;NOME FANTASIA;RAZÃO SOCIAL;SIF;ENDEREÇO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;FAX;SITE
01.724.097/0001-48;FRIGORIFICO BERTONCELLI ;BERTONCELLI & FILHOS LTDA;173;PR 281KM 22,5 S/N. ;LAGOAO;85.560-000;CHOPINZINHO;PR;(46) 3242-2244/1494;(46) 3242-2244;
67.620.377/0013-58;INDUSTRIA E COMERCIO DE CARNES MINERVA ;MINERVA  S. A. ;2100;RODOVIA ALCIDES SAOVESSO KM 08;ZONA RURAL;79.760-000;BATAYPOR.;MS;(67) 3443-3500;(67) 3443-3500;www.minerva.ind.br
02.916.265/0141-10;FRIBOI;JBS S/A ;457;ROD. PA 150 S/N.,  Km 8,1;NOVA MARAB.;68.506-971;MARAB.;PA;(94) 2101-5152;(94) 2101-5156;
01.535.759/0001-31;;R. E. RIBEIRO SOARES - ME;1367;ESTRADA DO MIRITITUBA Km 2,5;COL.NIA DIAMANTINO;68.020-550;SANTAR.M;PA;(93) 3522.0763;;
03.853.896/0015-45;MARFRIG ;MARFRIG GLOBAL FOODS S. A.;847;RUA SANTA BRIGIDA, 120;SANTA BRIGIDA;97.300-000;S.O GABRIEL;RS;(55) 3237.2900;(55) 3237.2900;www.marfrig.com.br
10.198.974/0001-85;PLENA ;PLENA ALIMENTOS LTDA ;3215;ROD.  BR 153, KM 493;SETOR INDUSTRIAL;77.600-000;PARA.SO DO TOCANTINS;TO;(63) 602.1617;;
09.129.753/0001-76;FRIGO - BRAS ;FRIGO - BRAS FRIGOR.FICOS LTDA ;3730;ROD. MS 276 S/N. KM 4,7;UMBARACA;79.750-000;NOVA ANDRADINA;MS;(67) 3441-8000;(67) 3441-8000;www.frigandrade.com.br
01.037.273/0001-73;;PRIMAZ FRIGORIFICO LTDA ;641;BR 116, KM 197, S/N. ;ROSEIRA;83.880-000;RIO NEGRO;PR;(47) 3642.3810;(47) 3642.3810;
00.671.047/0001-87;FRIGOR.FICO THOMS ;FRIGOR.FICO THOMS LTDA;3995;.GUA MINERAL PIRAP. S/N.;GUAMIRIM;84.500-000;IRATI;PR;(42) 3434.1145;(42) 3423.2626;
09.567.194/0001-86;M H CARNES ;FRIGORIFICO PALMEIRA LTDA ME ;3098;ESTRADA S.O SEBASTI.O DO CANOAS, S/N;S.O SEBASTI.O DO CANOAS;88.545-000;PALMEIRA;SC;;;
60.444.908/0001-16;;FRIMART - FRIGOR.FICO MARTIN.POLIS LTDA ;122;ROD SP, 425 S/N. KM 430 + 537 METROS;CENTRO ;19.500-000;MARTIN.POLIS;SP;(18) 3275.4200;(18) 3275.4200;
03.721.769/0006-00;MASTERBOI ;MASTERBOI LTDA;860;ROD. BR 153, KM 190 S/N.;ZONA RURAL ;77.790-000;NOVA OLINDA;TO;(63) 3452.1408;;
04.377.477/0001-41;FRIBARREIRAS;FRIBARREIRAS AGRO INDUSTRIAL DE ALIMENTOS EIRELI ;2394;RODOVIA BR 020/135 KM 13 S/N;DISTRITO INDUSTRIAL;47.804-510;BARREIRAS;BA;(77) 3611-5974;;
97.545.687/0001-82;NATURAL CARNES;NATURAL CARNES LTDA ;2382;ROD. GO 139, KM 19, S/N. -  FAZENDA S.O JO.O DA RAQUEL;ZONA RURAL;72.920-000;ALEX.NIA;GO;;;
