NOME:AgroindustrialIguatemiLTDA.  SIFa:1440
NOME:Caarapó  SIFa:2265
NOME:GuarantãdoNorte  SIFa:4577
NOME:Rondonópolis  SIFa:3941
NOME:CruzeirodoOeste  SIFa:1251
NOME:PresidentePrudente  SIFa:2121
NOME:Capinzal  SIFa:466
NOME:Dourados  SIFa:18
NOME:Jatai  SIFa:4011
NOME:Lajeado  SIFa:1449
NOME:Marau  SIFa:2014
NOME:Mineiros  SIFa:1010
NOME:NovaMutum  SIFa:4567
NOME:RioVerde  SIFa:1001
NOME:SerafinaCorrêa  SIFa:103
NOME:Videira  SIFa:87
NOME:Garibaldi  SIFa:3169
NOME:Jataí  SIFa:4011
NOME:GonçalveseTortola  SIFa:4166
NOME:SãoJoão  SIFa:802
NOME:Gurupi  SIFa:93
NOME:EstrelaD’oesteVilhena  SIFa:2924
NOME:LençóisPaulista  SIFa:2960
NOME:ÁguaAzuldoNorte  SIFa:2583
NOME:SãoFelixdoXingu  SIFa:4150
NOME:Jaru  SIFa:2443
NOME:Colatina  SIFa:506
NOME:Itajubá  SIFa:1883
NOME:Vilhena  SIFa:4333
NOME:AltaFloresta  SIFa:4302
NOME:Cassilândia  SIFa:3112
NOME:Goiânia  SIFa:862
NOME:Ituiutaba  SIFa:504
NOME:NovaAndradina  SIFa:49
NOME:Colíder  SIFa:4268
NOME:CampoGrande  SIFa:1662
NOME:CampoGrande  SIFa:4400
NOME:Marabá  SIFa:457
NOME:Naviraí  SIFa:3181
NOME:Lins  SIFa:337
NOME:Andradina  SIFa:385
NOME:Diamantino  SIFa:2019
NOME:Mozarlândia  SIFa:4507
NOME:SenadorCanedo  SIFa:2058
NOME:PontesLacerda  SIFa:51
NOME:Pituiutaba  SIFa:504
NOME:PimentaBueno  SIFa:2880
NOME:BarradoGarça  SIFa:42
NOME:SãoMigueldoGuaporé  SIFa:175
NOME:Juara  SIFa:200
SantaFedoSul–SIF:545
NOME:Redenção  SIFa:807
NOME:SantanadoAraguaia  SIFa:1110
NOME:CachoeiraAlta  SIFa:1616
NOME:Araputanga  SIFa:2979
NOME:Diamantino  SIFa:3000
NOME:Iturama  SIFa:3225
NOME:Confresa  SIFa:3470
NOME:MonteNegro  SIFa:2032
NOME:Passofundo  SIFa:922
NOME:NovaVeneza  SIFa:1155
NOME:Lajeado  SIFa:1449
NOME:MorroGrande  SIFa:3565
NOME:Caarapó  SIFa:3482
NOME:SantoInacio  SIFa:777
NOME:Goianira  SIFa:2156
NOME:Araguari  SIFa:177
NOME:SantaFédeGoiás  SIFa:4029
NOME:Xinguara  SIFa:4413
NOME:Castanhal  SIFa:4554
NOME:Barretos  SIFa:421
NOME:Araguaína  SIFa:1940
NOME:JoséBonifácio  SIFa:451
NOME:PalmeiradeGoiás  SIFa:431
NOME:RolimdeMoura  SIFa:791
NOME:ParaisoTocantins  SIFa:3215
NOME:Porangatu  SIFa:3920
NOME:Iporá  SIFa:2333
NOME:GuarantãdoNorte  SIFa:411
NOME:Barbacena  SIFa:3571
NOME:Industrial  SIFa:490
NOME:Lapa  SIFa:530
NOME:Itapiranga  SIFa:576
NOME:Guapiaçu  SIFa:2022
NOME:MorroGrande  SIFa:3565
NOME:Forquilhinha  SIFa:2172
NOME:Jacarezinho  SIFa:2227
NOME:SamambaiadoNorte  SIFa:2423
NOME:Uberaba  SIFa:2460
NOME:Passos  SIFa:2869
NOME:Sidrolândia  SIFa:3595
NOME:Ipumirim  SIFa:4202
NOME:Xinguara  SIFa:4398
NOME:Mineiros  SIFa:3047
NOME:Paranatinga  SIFa:2500
NOME:Paranatinga  SIFa:1751
NOME:Paranatinga  SIFa:232
NOME:Alegrete  SIFa:2007
NOME:SãoGabriel  SIFa:847
NOME:Bataguassu  SIFa:4238
NOME:Bauru  SIFa:1758
